Category,Dish No.,Name - English,Name - German,Name - Vietnamese,Description - English,Description - German,Description - Vietnamese,Price CHF,Allergens
Appetizer,19,Green Mango Salad with Avocado and Cashew Nuts,Grüner Mangosalat mit Avocado und Cashewnüssen,Gỏi xoài chay,"Mixed salad with green mango and avocado, homemade lime dressing and roasted cashews, served with sesame rice chips","Gemischter Salat mit grüner Mango und Avocado, hausgemachtem Limettendressing und gerösteten Cashewnüssen, serviert mit Sesam-Reischips","Salad trộn xoài xanh và bơ, sốt chanh tự làm và hạt điều rang, dùng kèm bánh gạo mè",23.5,A H
Appetizer,20,Fried Soft Firm Tofu,Gebratener Tofu,Đậu hủ chiên,Tender fried tofu slices in wasabi soy sauce,Zart gebratene Tofuscheiben in Wasabi-Sojasauce,"Đậu hũ cắt lát chiên vàng, dùng với sốt đậu nành wasabi",11.5,A F M
Appetizer,21,Tom Kha Gai,Tom Kha Gai,Súp Tom Kha Gai,"Coconut milk soup with chicken, lemongrass, lime, chili, mushrooms and galangal","Kokosmilchsuppe mit Poulet, Zitronengras, Limetten, Chili, Pilzen und Galgant","Súp nước cốt dừa với gà, sả, chanh, ớt, nấm và riềng",13.5,D
Appetizer,22,Crispy Shrimps,Knusprige Shrimps,Tôm chiên bột,Crispy deep-fried shrimp in batter with sweet-and-sour dip,Knusprig frittierte Shrimps im Teigmantel mit süss-saurem Dip,"Tôm tẩm bột chiên giòn, dùng kèm nước chấm chua ngọt",12.5,A B
Appetizer,23,Steamed Pork Rice Rolls,Gedämpfte Reisrollen mit Schweinefleisch,Bánh cuốn Heo,"Thin steamed rice-flour rolls filled with pork, mushrooms, mung bean sprouts and onions, served with fresh mint and Nước Mắm dip","Hauchdünne gedämpfte Reismehlröllchen, gefüllt mit Schweinefleisch, Pilzen, Mungosprossen und Zwiebeln, serviert mit frischer Pfefferminze und Nước-Mắm-Dip","Bánh cuốn bột gạo hấp mỏng, nhân thịt heo, nấm, giá đỗ và hành tây, dùng kèm bạc hà tươi và nước mắm",24.5,D F
Appetizer,24,Selected Appetizer,Ausgewählte Vorspeisen,5 món khai vị,"2 Vietnamese spring rolls, 2 chicken satay skewers, 2 crispy shrimp, edamame and 1 fresh prawn summer roll","2 vietnamesische Frühlingsrollen, 2 Poulet-Spiesschen, 2 knusprige Shrimps, Edamame und 1 frische Krevetten-Sommerrolle","2 chả giò Việt Nam, 2 xiên gà saté, 2 tôm chiên giòn, edamame và 1 gỏi cuốn tôm tươi",29.5,A B D E F
Noodle Soup,40,Beef Noodle Soup,Rindfleisch-Nudelsuppe,Phở bò,"Clear broth with wide rice noodles, beef (rump), onions and coriander","Klare Fleischbrühe mit breiten Reisnudeln, Rindfleisch (Huft), Zwiebeln und Koriander","Nước dùng trong với bánh phở, thịt bò (thăn đùi), hành tây và rau mùi",24.5,D F
Noodle Soup,41,Chicken Noodle Soup,Poulet-Nudelsuppe,Phở gà,"Clear broth with chicken, rice noodles, onions and coriander","Klare Fleischbrühe mit Poulet, Reisnudeln, Zwiebeln und Koriander","Nước dùng trong với thịt gà, bánh phở, hành tây và rau mùi",23.5,D F
Noodle Soup,42,Vegetable Noodle Soup,Vegetarische Nudelsuppe,Phở đậu hủ,"Clear vegetable broth with vegetables and tofu, rice noodles, onions and coriander","Klare Gemüsebrühe mit Gemüse und Tofu, Reisnudeln, Zwiebeln und Koriander","Nước dùng rau củ trong với rau củ, đậu hũ, bánh phở, hành tây và rau mùi",23.5,A F
Noodle Soup,43,Huế Spicy Beef Soup,Scharfe Rindfleischsuppe nach Huế-Art,Bún bò Huế,"Rice noodle soup with beef (rump), lemongrass, satay, shrimp paste, Vietnamese mint and onions","Reisnudelsuppe mit Rindfleisch (Huft), Zitronengras, Saté, Krabbenpaste, vietnamesischer Minze und Zwiebeln","Bún bò với thịt bò (thăn đùi), sả, sa tế, mắm ruốc, rau thơm Việt Nam và hành tây",25.5,D F
Noodle Soup,44,Crab Noodle Soup,Krabben-Nudelsuppe,Bún riêu,"Rice noodle soup with crab meat, tomatoes, onions and coriander","Reisnudelsuppe mit Krabbenfleisch, Tomaten, Zwiebeln und Koriander","Bún nước với thịt cua, cà chua, hành tây và rau mùi",25.5,B D F
Noodle Soup,45,Satay Beef Noodle Soup,Rindfleisch-Satay-Nudelsuppe,Bún saté bò,"Rice noodle soup with beef (rump), Vietnamese curry, tamarind-chili paste and peanuts, served with cucumber and tomatoes","Reisnudelsuppe mit Rindfleisch (Huft), vietnamesischem Curry, Tamarinden-Chilipaste und Erdnüssen, dazu Gurken und Tomaten","Bún nước với thịt bò (thăn đùi), cà ri Việt Nam, sốt me ớt và đậu phộng, dùng kèm dưa leo và cà chua",29.5,D E F
Noodle Soup,46,Phnom Penh Noodle Soup,Nudelsuppe nach Phnom-Penh-Art,Hủ Tiếu Nam Vang,"Rice noodle soup with pork and prawns, roasted onions and fresh celery leaves","Reisnudelsuppe mit Schweinefleisch und Krevetten, gerösteten Zwiebeln und frischen Sellerieblättern","Hủ tiếu với thịt heo và tôm, hành phi và lá cần tây tươi",29.5,D E F
Noodle Soup,47,Saigon Style Duck Noodle Soup,Nudelsuppe mit Ente nach Saigon-Art,Mì Vịt,"Noodle soup with duck, pak choi and shiitake mushrooms","Nudelsuppe mit Ente, Pak Choi und Shiitake-Pilzen","Mì nước với thịt vịt, cải thìa và nấm hương",29.5,D E F
Noodles,50,Beef Lemongrass with Rice Noodles,Rindfleisch mit Zitronengras und Reisnudeln,Bún bò xào sả ớt,"Rice noodles with spicy stir-fried beef (rump), lemongrass, chili, mung bean sprouts, mint and roasted peanuts, served with Nước Mắm sauce","Reisnudeln mit würzig angebratenem Rindfleisch (Huft), Zitronengras, Chili, Mungosprossen, Pfefferminze und gerösteten Erdnüssen, dazu Nước-Mắm-Sauce","Bún với thịt bò (thăn đùi) xào sả ớt, giá đỗ, bạc hà và đậu phộng rang, dùng kèm nước mắm",25.5,D E F
Noodles,51,Chicken Lemongrass with Rice Noodles,Poulet mit Zitronengras und Reisnudeln,Bún gà nướng,"Rice noodles with juicy grilled lemongrass-turmeric chicken pieces, mung bean sprouts, mint and roasted peanuts, served with Nước Mắm sauce","Reisnudeln mit saftig grillierten Zitronengras-Kurkuma-Pouletstückchen, Mungosprossen, Pfefferminze und gerösteten Erdnüssen, dazu Nước-Mắm-Sauce","Bún với thịt gà nướng sả nghệ, giá đỗ, bạc hà và đậu phộng rang, dùng kèm nước mắm",24.5,D E F
Noodles,52,Rice Noodles with Spring Rolls and Grilled Pork,Reisnudeln mit Frühlingsrollen und grilliertem Schweinefleisch,Bún chả giò heo nướng,"Rice noodles with Vietnamese spring rolls, grilled pork, mung bean sprouts, salad, fresh herbs and roasted peanuts, served with Nước Mắm sauce","Reisnudeln mit vietnamesischen Frühlingsrollen, grilliertem Schweinefleisch, Mungosprossen, Salat, frischen Kräutern und gerösteten Erdnüssen, dazu Nước-Mắm-Sauce","Bún với chả giò Việt Nam, thịt heo nướng, giá đỗ, rau xà lách, rau thơm và đậu phộng rang, dùng kèm nước mắm",27.5,B D E F
Noodles,53,Pad Thai Chicken,Pad Thai mit Poulet,Pad Thai Gà,"Stir-fried rice noodles with tamarind sauce, garlic, chives, mung bean sprouts, lime and roasted peanuts","Gebratene Reisnudeln mit Tamarindensauce, Knoblauch, Schnittlauch, Mungosprossen, Limetten und gerösteten Erdnüssen","Bánh phở xào với sốt me, tỏi, hẹ, giá đỗ, chanh và đậu phộng rang",24.5,A C D E F
Noodles,54,Beef Fried Flat Rice Noodles,Gebratene flache Reisnudeln mit Rindfleisch,Hủ tiếu xào bò,"Wide flat rice noodles stir-fried in a wok with beef (rump), vegetables, egg and roasted peanuts","Breite, flache Reisnudeln im Wok gebraten mit Rindfleisch (Huft), Gemüse, Eiern und gerösteten Erdnüssen","Hủ tiếu bản lớn xào wok với thịt bò (thăn đùi), rau củ, trứng và đậu phộng rang",25.5,A C D E F
Noodles,55,Prawn Fried Udon Noodles,Gebratene Udon-Nudeln mit Krevetten,Mì Udon xào tôm,"Udon noodles stir-fried in a wok with prawns, vegetables, egg and coriander","Udon-Nudeln im Wok gebraten mit Krevetten, Gemüse, Eiern und Koriander","Mì Udon xào với tôm, rau củ, trứng và rau mùi",25.5,A C D F
Noodles,56,"Crispy Deep-Fried Egg Noodles with Beef, Chicken, Seafood & Vegetables","Knusprig frittierte Eiernudeln mit Rind, Poulet, Meeresfrüchten und Gemüse",Mì Xào Giòn Thập Cẩm,"Crispy deep-fried egg noodles with beef, chicken, seafood and vegetables in soy-oyster sauce, pepper and coriander","Knusprig frittierte Eiernudeln mit Rindfleisch, Poulet, Meeresfrüchten und Gemüse an Soja-Austernsauce, Pfeffer und Koriander","Mì trứng chiên giòn với thịt bò, gà, hải sản và rau củ, dùng với sốt đậu nành-hào, tiêu và rau mùi",34.5,A B D N R
Noodles,57,"Glass Noodles with Mushrooms, Tofu & Vegetables","Glasnudeln mit Pilzen, Tofu und Gemüse",Miến xào chay,"Stir-fried glass noodles with tofu, shiitake mushrooms, mung bean sprouts, garlic and sesame","Gebratene Glasnudeln mit Tofu, Shiitake-Pilzen, Mungosprossen, Knoblauch und Sesam","Miến xào với đậu hũ, nấm hương, giá đỗ, tỏi và mè",24.5,A F N
Wok & Rice,60,Chicken Fried Rice,Gebratener Reis mit Poulet,Cơm chiên gà,"Fried rice with chicken, vegetables, egg and spring onions","Gebratener Reis mit Poulet, Gemüse, Eiern und Frühlingszwiebeln","Cơm chiên với thịt gà, rau củ, trứng và hành lá",22.5,A C D
Wok & Rice,61,Beef Morning Glory,Rindfleisch mit Wasserspinat,Rau muống xào bò,"Stir-fried beef with morning glory and garlic, served with jasmine rice","Gebratenes Rindfleisch mit Wasserspinat und Knoblauch, serviert mit Jasminreis","Thịt bò xào rau muống và tỏi, dùng kèm cơm gạo jasmine",26.5,D
Wok & Rice,62,Morning Glory with Tofu and Shiitake Mushrooms,Wasserspinat mit Tofu und Shiitake-Pilzen,Rau muống xào đậu hủ,"Stir-fried morning glory with tofu, shiitake mushrooms and garlic, served with jasmine rice","Gebratener Wasserspinat mit Tofu, Shiitake-Pilzen und Knoblauch, dazu Jasminreis","Rau muống xào với đậu hũ, nấm hương và tỏi, dùng kèm cơm gạo jasmine",25.5,A F
Wok & Rice,63,Crispy Duck with Peking Sauce,Knusprige Ente mit Peking-Sauce,Vịt chiên giòn,"Crispy duck with Peking sauce, served with jasmine rice","Knusprige Ente mit Peking-Sauce, serviert mit Jasminreis","Vịt chiên giòn với sốt Bắc Kinh, dùng kèm cơm gạo jasmine",27.5,A
Wok & Rice,64,Chicken Holy Basil with Fried Egg,Poulet mit Thai-Basilikum und Spiegelei,Gà xào lá quế,"Wok-fried minced chicken with Thai basil, served with jasmine rice and fried egg","Im Wok gebratenes, gehacktes Pouletfleisch mit Thai-Basilikum, dazu Jasminreis und Spiegelei","Thịt gà băm xào wok với húng quế Thái, dùng kèm cơm gạo jasmine và trứng ốp la",29.5,A C D
Wok & Rice,65,Savoury Pancake - Pork & Prawn,Herzhafter Pfannkuchen mit Schweinefleisch und Krevetten,Bánh xèo,"Crispy crêpe with pork, prawns, onions and mung bean sprouts, served with fresh salad and mint, with Nước Mắm dip","Knuspriger Crêpe mit Schweinefleisch, Krevetten, Zwiebeln und Mungosprossen, serviert mit frischem Salat und Pfefferminze, dazu Nước-Mắm-Dip","Bánh xèo giòn với thịt heo, tôm, hành tây và giá đỗ, dùng kèm rau xà lách, bạc hà tươi và nước mắm",27.5,A B D F
Wok & Rice,66,Vietnamese Shaking Beef Cubes with Fried Egg,Vietnamesisches Shaking Beef mit Spiegelei,Bò lúc lắc trứng ốp la,"Tender beef cubes (fillet), quickly stir-fried in a wok, served with jasmine rice and fried egg","Zarte Rindswürfel (Filet), im Wok kurz und würzig angebraten, serviert mit Jasminreis und Spiegelei","Thịt bò phi lê cắt hạt lựu, xào nhanh đậm đà trong wok, dùng kèm cơm gạo jasmine và trứng ốp la",34.5,A C D
Wok & Rice,67,Squid Stir-fry with Vegetables,Tintenfisch mit Gemüse aus dem Wok,Mực xào thơm cà,"Wok-fried squid with celery and pineapple, served with jasmine rice","Tintenfisch im Wok gebraten mit Sellerie und Ananas, dazu Jasminreis","Mực xào wok với cần tây và dứa, dùng kèm cơm gạo jasmine",29.5,A D L R
Fish & Curry,90,Green Curry - Chicken / Tofu,Grünes Curry – Poulet / Tofu,Cà ri xanh – gà / đậu hũ,"Green curry with Thai eggplant, crunchy long beans, bamboo shoots and Thai basil, served with jasmine rice","Grünes Curry mit Thai-Auberginen, knackigen Langbohnen, Bambussprossen und Thai-Basilikum, dazu Jasminreis","Cà ri xanh với cà tím Thái, đậu que, măng tre và húng quế Thái, dùng kèm cơm gạo jasmine",25.5,A D / A D F
Fish & Curry,90,Green Curry - Beef / Prawn,Grünes Curry – Rindfleisch / Krevetten,Cà ri xanh – bò / tôm,"Green curry with Thai eggplant, crunchy long beans, bamboo shoots and Thai basil, served with jasmine rice","Grünes Curry mit Thai-Auberginen, knackigen Langbohnen, Bambussprossen und Thai-Basilikum, dazu Jasminreis","Cà ri xanh với cà tím Thái, đậu que, măng tre và húng quế Thái, dùng kèm cơm gạo jasmine",27.5,A D / A B D
Fish & Curry,91,Red Curry - Chicken / Tofu,Rotes Curry – Poulet / Tofu,Cà ri đỏ – gà / đậu hũ,"Red curry with Thai eggplant, crunchy long beans, bamboo shoots and Thai basil, served with jasmine rice","Rotes Curry mit Thai-Auberginen, knackigen Langbohnen, Bambussprossen und Thai-Basilikum, serviert mit Jasminreis","Cà ri đỏ với cà tím Thái, đậu que, măng tre và húng quế Thái, dùng kèm cơm gạo jasmine",25.5,A D / A D F
Fish & Curry,91,Red Curry - Beef / Prawn,Rotes Curry – Rindfleisch / Krevetten,Cà ri đỏ – bò / tôm,"Red curry with Thai eggplant, crunchy long beans, bamboo shoots and Thai basil, served with jasmine rice","Rotes Curry mit Thai-Auberginen, knackigen Langbohnen, Bambussprossen und Thai-Basilikum, serviert mit Jasminreis","Cà ri đỏ với cà tím Thái, đậu que, măng tre và húng quế Thái, dùng kèm cơm gạo jasmine",27.5,A D / A B D
Fish & Curry,92,Massaman Curry - Chicken / Tofu,Massaman-Curry – Poulet / Tofu,Cà ri Massaman – gà / đậu hũ,"Massaman curry with potatoes, onions, cashews and tamarind sauce, served with jasmine rice","Massaman-Curry mit Kartoffeln, Zwiebeln, Cashewnüssen und Tamarindensauce, serviert mit Jasminreis","Cà ri Massaman với khoai tây, hành tây, hạt điều và sốt me, dùng kèm cơm gạo jasmine",25.5,A D H / A D F H
Fish & Curry,92,Massaman Curry - Beef / Prawn,Massaman-Curry – Rindfleisch / Krevetten,Cà ri Massaman – bò / tôm,"Massaman curry with potatoes, onions, cashews and tamarind sauce, served with jasmine rice","Massaman-Curry mit Kartoffeln, Zwiebeln, Cashewnüssen und Tamarindensauce, serviert mit Jasminreis","Cà ri Massaman với khoai tây, hành tây, hạt điều và sốt me, dùng kèm cơm gạo jasmine",27.5,A D H / A B D H
Fish & Curry,93,Vietnamese Chicken Curry with Rice Noodles,Vietnamesisches Poulet-Curry mit Reisnudeln,Bún cà ri gà Việt Nam,"Chicken curry with chili, garlic and lemongrass, served with rice noodles","Poulet-Curry mit Chilischoten, Knoblauch und Zitronengras, serviert mit Reisnudeln","Cà ri gà Việt Nam với ớt, tỏi và sả, dùng kèm bún",28.5,A D
Fish & Curry,94,Vietnamese Caramelized Fish in Claypot,Vietnamesischer karamellisierter Fisch im Tontopf,Cá kho tộ,"Slow-braised caramelized fish in a claypot, served with jasmine rice","Geschmorter karamellisierter Fisch im Tontopf, serviert mit Jasminreis","Cá kho tộ kiểu Việt Nam, dùng kèm cơm gạo jasmine",28.5,D
